OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityStartDate,ProjectIdentifier,ProjectName,MonitoringLocationIdentifier,MonitoringLocationName,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ResultCommentText,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0402190062-1-20040218-0,Sample,2/18/2004,PKNTDIS,,SAN-PKNTDIS,,,,PWD,PWD,PWD,,Unknown,STORET-100065212555.0000000000,,Calcium,,43.3,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0402190062-1-20040218-0,Sample,2/18/2004,PKNTDIS,,SAN-PKNTDIS,,,,PWD,PWD,PWD,,Unknown,STORET-100065212539.0000000000,,Sulfate as SO4,,290.8,mg/l,,300(A),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0402190062-1-20040218-0,Sample,2/18/2004,PKNTDIS,,SAN-PKNTDIS,,,,PWD,PWD,PWD,,Unknown,STORET-100065212552.0000000000,*Non-detect,Bromide,,,,,300(A),USEPA,,,,,,0.05,mg/l,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-DISSMETAL01 \\Custody_ID: WAPBASE 20185-STONY2004-0,Sample,3/16/2004,STONYSPC,,211WVOWR-PNB-017-0025,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007928858.0000000000,,Aluminum,Dissolved,930,ug/l,,200.7(W),USEPA,,,,"Bio-Chem Testing, Inc.",3/25/2004,20,ug/l,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-METAL01 \\Custody_ID: WAPBASE 20185-STONY2004-0,Sample,3/16/2004,STONYSPC,,211WVOWR-PNB-017-0025,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007928817.0000000000,,Manganese,Total,61300,ug/l,This value could be in violation of Water Quality Standards.,200.7(W),USEPA,,,,"Bio-Chem Testing, Inc.",3/25/2004,3,ug/l,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-METAL01 \\Custody_ID: WAPBASE 20185-STONY2004-0,Sample,3/16/2004,STONYSPC,,211WVOWR-PNB-017-0025,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007928818.0000000000,,Iron,Total,149000,ug/l,This value could be in violation of Water Quality Standards.,200.7(W),USEPA,,,,"Bio-Chem Testing, Inc.",3/25/2004,20,ug/l,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-METAL01 \\Custody_ID: WAPBASE 20185-STONY2004-0,Sample,3/16/2004,STONYSPC,,211WVOWR-PNB-017-0025,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007928819.0000000000,,Aluminum,Total,67300,ug/l,This value could be in violation of Water Quality Standards.,200.7(W),USEPA,,,,"Bio-Chem Testing, Inc.",3/25/2004,20,ug/l,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-DISSMETAL01 \\Custody_ID: WAPBASE 20185-STONY2004-0,Sample,3/16/2004,STONYSPC,,211WVOWR-PNB-017-0025,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007928859.0000000000,*Non-detect,Iron,Dissolved,,,<20 ug/l,200.7(W),USEPA,,,,"Bio-Chem Testing, Inc.",3/25/2004,20,ug/l,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-SAMPLE01 \\Custody_ID: WAPBASE 20185-STONY2004-0,Sample,3/16/2004,STONYSPC,,211WVOWR-PNB-017-0025,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007928742.0000000000,,Sulfate as SO4,Total,2150,mg/l,,300(A),USEPA,,,,"Bio-Chem Testing, Inc.",3/23/2004,5,mg/l,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-DISSMETAL01 \\Custody_ID: WAPBASE 20182-STONY2004-0,Sample,3/16/2004,STONYSPC,,211WVOWR-PNB-017-0023,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007928857.0000000000,,Aluminum,Dissolved,1610,ug/l,,200.7(W),USEPA,,,,"Bio-Chem Testing, Inc.",3/24/2004,20,ug/l,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-METAL01 \\Custody_ID: WAPBASE 20182-STONY2004-0,Sample,3/16/2004,STONYSPC,,211WVOWR-PNB-017-0023,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007928814.0000000000,,Aluminum,Total,1950,ug/l,This value could be in violation of Water Quality Standards.,200.7(W),USEPA,,,,"Bio-Chem Testing, Inc.",3/24/2004,20,ug/l,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-DISSMETAL01 \\Custody_ID: WAPBASE 20182-STONY2004-0,Sample,3/16/2004,STONYSPC,,211WVOWR-PNB-017-0023,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007928856.0000000000,*Non-detect,Iron,Dissolved,,,<20 ug/l,200.7(W),USEPA,,,,"Bio-Chem Testing, Inc.",3/24/2004,20,ug/l,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-METAL01 \\Custody_ID: WAPBASE 20182-STONY2004-0,Sample,3/16/2004,STONYSPC,,211WVOWR-PNB-017-0023,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007928815.0000000000,,Iron,Total,740,ug/l,,200.7(W),USEPA,,,,"Bio-Chem Testing, Inc.",3/24/2004,20,ug/l,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-METAL01 \\Custody_ID: WAPBASE 20182-STONY2004-0,Sample,3/16/2004,STONYSPC,,211WVOWR-PNB-017-0023,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007928816.0000000000,,Manganese,Total,736,ug/l,,200.7(W),USEPA,,,,"Bio-Chem Testing, Inc.",3/24/2004,3,ug/l,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-SAMPLE01 \\Custody_ID: WAPBASE 20182-STONY2004-0,Sample,3/16/2004,STONYSPC,,211WVOWR-PNB-017-0023,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007928733.0000000000,,Sulfate as SO4,Total,314,mg/l,,300(A),USEPA,,,,"Bio-Chem Testing, Inc.",3/23/2004,5,mg/l,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-DISSMETAL01 \\Custody_ID: WAPBASE 20181-STONY2004-0,Sample,3/16/2004,STONYSPC,,211WVOWR-PNB-017-0020,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007928854.0000000000,,Aluminum,Dissolved,60,ug/l,,200.7(W),USEPA,,,,"Bio-Chem Testing, Inc.",3/25/2004,20,ug/l,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-DISSMETAL01 \\Custody_ID: WAPBASE 20181-STONY2004-0,Sample,3/16/2004,STONYSPC,,211WVOWR-PNB-017-0020,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007928855.0000000000,*Non-detect,Iron,Dissolved,,,<20 ug/l,200.7(W),USEPA,,,,"Bio-Chem Testing, Inc.",3/25/2004,20,ug/l,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-METAL01 \\Custody_ID: WAPBASE 20181-STONY2004-0,Sample,3/16/2004,STONYSPC,,211WVOWR-PNB-017-0020,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007928875.0000000000,,Aluminum,Total,90,ug/l,,200.7(W),USEPA,,,,"Bio-Chem Testing, Inc.",3/25/2004,20,ug/l,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-METAL01 \\Custody_ID: WAPBASE 20181-STONY2004-0,Sample,3/16/2004,STONYSPC,,211WVOWR-PNB-017-0020,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007928877.0000000000,,Manganese,Total,18,ug/l,,200.7(W),USEPA,,,,"Bio-Chem Testing, Inc.",3/25/2004,3,ug/l,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-METAL01 \\Custody_ID: WAPBASE 20181-STONY2004-0,Sample,3/16/2004,STONYSPC,,211WVOWR-PNB-017-0020,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007928876.0000000000,,Iron,Total,20,ug/l,,200.7(W),USEPA,,,,"Bio-Chem Testing, Inc.",3/25/2004,20,ug/l,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-SAMPLE01 \\Custody_ID: WAPBASE 20181-STONY2004-0,Sample,3/16/2004,STONYSPC,,211WVOWR-PNB-017-0020,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007928849.0000000000,,Sulfate as SO4,Total,153,mg/l,,300(A),USEPA,,,,"Bio-Chem Testing, Inc.",3/23/2004,5,mg/l,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190058-1-20040518-0,Sample,5/18/2004,PINFOR,,SAN-PINFIN,,,,PWD,PWD,PWD,,Unknown,STORET-100065212141.0000000000,,Iron,Dissolved,11.9,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190058-1-20040518-0,Sample,5/18/2004,PINFOR,,SAN-PINFIN,,,,PWD,PWD,PWD,,Unknown,STORET-100065212140.0000000000,,Iron,Total,13.5,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190058-1-20040518-0,Sample,5/18/2004,PINFOR,,SAN-PINFIN,,,,PWD,PWD,PWD,,Unknown,STORET-100065212145.0000000000,,Manganese,Dissolved,4.43,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190058-1-20040518-0,Sample,5/18/2004,PINFOR,,SAN-PINFIN,,,,PWD,PWD,PWD,,Unknown,STORET-100065212137.0000000000,,Copper,Total,0.004,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190058-1-20040518-0,Sample,5/18/2004,PINFOR,,SAN-PINFIN,,,,PWD,PWD,PWD,,Unknown,STORET-100065212143.0000000000,,Magnesium,Total,56.8,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190058-1-20040518-0,Sample,5/18/2004,PINFOR,,SAN-PINFIN,,,,PWD,PWD,PWD,,Unknown,STORET-100065212144.0000000000,,Manganese,Total,4.78,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190058-1-20040518-0,Sample,5/18/2004,PINFOR,,SAN-PINFIN,,,,PWD,PWD,PWD,,Unknown,STORET-100065212142.0000000000,*Non-detect,Lead,Total,,,,200.8(W),USEPA,,,,,,0.001,mg/l,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190058-1-20040518-0,Sample,5/18/2004,PINFOR,,SAN-PINFIN,,,,PWD,PWD,PWD,,Unknown,STORET-100065212127.0000000000,*Non-detect,Cadmium,Total,,,,200.8(W),USEPA,,,,,,0.001,mg/l,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190058-1-20040518-0,Sample,5/18/2004,PINFOR,,SAN-PINFIN,,,,PWD,PWD,PWD,,Unknown,STORET-100065212134.0000000000,*Non-detect,Cadmium,Dissolved,,,,200.8(W),USEPA,,,,,,0.001,mg/l,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190058-1-20040518-0,Sample,5/18/2004,PINFOR,,SAN-PINFIN,,,,PWD,PWD,PWD,,Unknown,STORET-100065212148.0000000000,,Sodium,Total,4.44,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190058-1-20040518-0,Sample,5/18/2004,PINFOR,,SAN-PINFIN,,,,PWD,PWD,PWD,,Unknown,STORET-100065212125.0000000000,,Aluminum,Dissolved,0.217,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190058-1-20040518-0,Sample,5/18/2004,PINFOR,,SAN-PINFIN,,,,PWD,PWD,PWD,,Unknown,STORET-100065212130.0000000000,,Aluminum,Total,0.702,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190058-1-20040518-0,Sample,5/18/2004,PINFOR,,SAN-PINFIN,,,,PWD,PWD,PWD,,Unknown,STORET-100065212152.0000000000,,Zinc,Total,0.143,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190058-1-20040518-0,Sample,5/18/2004,PINFOR,,SAN-PINFIN,,,,PWD,PWD,PWD,,Unknown,STORET-100065212136.0000000000,*Non-detect,Chloride,Total,,,,300(A),USEPA,,,,,,5,mg/l,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190058-1-20040518-0,Sample,5/18/2004,PINFOR,,SAN-PINFIN,,,,PWD,PWD,PWD,,Unknown,STORET-100065212138.0000000000,,Fluoride,Total,0.108,mg/l,,4500-F-C,APHA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190058-1-20040518-0,Sample,5/18/2004,PINFOR,,SAN-PINFIN,,,,PWD,PWD,PWD,,Unknown,STORET-100065212135.0000000000,,Calcium,,61.9,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190058-1-20040518-0,Sample,5/18/2004,PINFOR,,SAN-PINFIN,,,,PWD,PWD,PWD,,Unknown,STORET-100065212150.0000000000,,Sulfate as SO4,,407.2,mg/l,,300(A),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190058-1-20040518-0,Sample,5/18/2004,PINFOR,,SAN-PINFIN,,,,PWD,PWD,PWD,,Unknown,STORET-100065212126.0000000000,*Non-detect,Bromide,,,,,300(A),USEPA,,,,,,0.05,mg/l,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190056-1-20040518-0,Sample,5/18/2004,REEVE2,,SAN-REEV2IN,,,,PWD,PWD,PWD,,Unknown,STORET-100065213687.0000000000,,Iron,Dissolved,2.05,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190056-1-20040518-0,Sample,5/18/2004,REEVE2,,SAN-REEV2IN,,,,PWD,PWD,PWD,,Unknown,STORET-100065213690.0000000000,,Manganese,Total,0.969,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190056-1-20040518-0,Sample,5/18/2004,REEVE2,,SAN-REEV2IN,,,,PWD,PWD,PWD,,Unknown,STORET-100065213682.0000000000,*Non-detect,Chloride,Total,,,,300(A),USEPA,,,,,,5,mg/l,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190056-1-20040518-0,Sample,5/18/2004,REEVE2,,SAN-REEV2IN,,,,PWD,PWD,PWD,,Unknown,STORET-100065213681.0000000000,,Calcium,,9.84,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190056-1-20040518-0,Sample,5/18/2004,REEVE2,,SAN-REEV2IN,,,,PWD,PWD,PWD,,Unknown,STORET-100065213691.0000000000,,Manganese,Dissolved,0.98,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190056-1-20040518-0,Sample,5/18/2004,REEVE2,,SAN-REEV2IN,,,,PWD,PWD,PWD,,Unknown,STORET-100065213680.0000000000,*Non-detect,Cadmium,Dissolved,,,,200.8(W),USEPA,,,,,,0.001,mg/l,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190056-1-20040518-0,Sample,5/18/2004,REEVE2,,SAN-REEV2IN,,,,PWD,PWD,PWD,,Unknown,STORET-100065213679.0000000000,*Non-detect,Cadmium,Total,,,,200.8(W),USEPA,,,,,,0.001,mg/l,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190056-1-20040518-0,Sample,5/18/2004,REEVE2,,SAN-REEV2IN,,,,PWD,PWD,PWD,,Unknown,STORET-100065213694.0000000000,,Sodium,Total,1,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190056-1-20040518-0,Sample,5/18/2004,REEVE2,,SAN-REEV2IN,,,,PWD,PWD,PWD,,Unknown,STORET-100065213686.0000000000,,Iron,Total,2.82,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190056-1-20040518-0,Sample,5/18/2004,REEVE2,,SAN-REEV2IN,,,,PWD,PWD,PWD,,Unknown,STORET-100065213688.0000000000,*Non-detect,Lead,Total,,,,200.8(W),USEPA,,,,,,0.001,mg/l,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190056-1-20040518-0,Sample,5/18/2004,REEVE2,,SAN-REEV2IN,,,,PWD,PWD,PWD,,Unknown,STORET-100065213689.0000000000,,Magnesium,Total,8.15,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190056-1-20040518-0,Sample,5/18/2004,REEVE2,,SAN-REEV2IN,,,,PWD,PWD,PWD,,Unknown,STORET-100065213676.0000000000,,Aluminum,Total,1.09,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190056-1-20040518-0,Sample,5/18/2004,REEVE2,,SAN-REEV2IN,,,,PWD,PWD,PWD,,Unknown,STORET-100065213677.0000000000,,Aluminum,Dissolved,0.938,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190056-1-20040518-0,Sample,5/18/2004,REEVE2,,SAN-REEV2IN,,,,PWD,PWD,PWD,,Unknown,STORET-100065213698.0000000000,,Zinc,Total,0.116,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190056-1-20040518-0,Sample,5/18/2004,REEVE2,,SAN-REEV2IN,,,,PWD,PWD,PWD,,Unknown,STORET-100065213683.0000000000,,Copper,Total,0.008,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190056-1-20040518-0,Sample,5/18/2004,REEVE2,,SAN-REEV2IN,,,,PWD,PWD,PWD,,Unknown,STORET-100065213684.0000000000,*Non-detect,Fluoride,Total,,,,4500-F-C,APHA,,,,,,0.1,mg/l,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190056-1-20040518-0,Sample,5/18/2004,REEVE2,,SAN-REEV2IN,,,,PWD,PWD,PWD,,Unknown,STORET-100065213696.0000000000,,Sulfate as SO4,,72.8,mg/l,,300(A),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190056-1-20040518-0,Sample,5/18/2004,REEVE2,,SAN-REEV2IN,,,,PWD,PWD,PWD,,Unknown,STORET-100065213678.0000000000,*Non-detect,Bromide,,,,,300(A),USEPA,,,,,,0.05,mg/l,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190059-1-20040518-0,Sample,5/18/2004,PKNTDIS,,SAN-PKNTDIS,,,,PWD,PWD,PWD,,Unknown,STORET-100065212577.0000000000,*Non-detect,Cadmium,Dissolved,,,,200.8(W),USEPA,,,,,,0.001,mg/l,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190059-1-20040518-0,Sample,5/18/2004,PKNTDIS,,SAN-PKNTDIS,,,,PWD,PWD,PWD,,Unknown,STORET-100065212580.0000000000,,Copper,Total,0.008,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190059-1-20040518-0,Sample,5/18/2004,PKNTDIS,,SAN-PKNTDIS,,,,PWD,PWD,PWD,,Unknown,STORET-100065212574.0000000000,,Aluminum,Dissolved,0.054,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190059-1-20040518-0,Sample,5/18/2004,PKNTDIS,,SAN-PKNTDIS,,,,PWD,PWD,PWD,,Unknown,STORET-100065212588.0000000000,,Manganese,Dissolved,2.64,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190059-1-20040518-0,Sample,5/18/2004,PKNTDIS,,SAN-PKNTDIS,,,,PWD,PWD,PWD,,Unknown,STORET-100065212586.0000000000,,Magnesium,Total,45.3,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190059-1-20040518-0,Sample,5/18/2004,PKNTDIS,,SAN-PKNTDIS,,,,PWD,PWD,PWD,,Unknown,STORET-100065212576.0000000000,*Non-detect,Cadmium,Total,,,,200.8(W),USEPA,,,,,,0.001,mg/l,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190059-1-20040518-0,Sample,5/18/2004,PKNTDIS,,SAN-PKNTDIS,,,,PWD,PWD,PWD,,Unknown,STORET-100065212561.0000000000,,Sodium,Total,7.57,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190059-1-20040518-0,Sample,5/18/2004,PKNTDIS,,SAN-PKNTDIS,,,,PWD,PWD,PWD,,Unknown,STORET-100065212583.0000000000,,Iron,Total,6.4,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190059-1-20040518-0,Sample,5/18/2004,PKNTDIS,,SAN-PKNTDIS,,,,PWD,PWD,PWD,,Unknown,STORET-100065212584.0000000000,,Iron,Dissolved,4.04,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190059-1-20040518-0,Sample,5/18/2004,PKNTDIS,,SAN-PKNTDIS,,,,PWD,PWD,PWD,,Unknown,STORET-100065212587.0000000000,,Manganese,Total,2.68,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190059-1-20040518-0,Sample,5/18/2004,PKNTDIS,,SAN-PKNTDIS,,,,PWD,PWD,PWD,,Unknown,STORET-100065212585.0000000000,*Non-detect,Lead,Total,,,,200.8(W),USEPA,,,,,,0.001,mg/l,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190059-1-20040518-0,Sample,5/18/2004,PKNTDIS,,SAN-PKNTDIS,,,,PWD,PWD,PWD,,Unknown,STORET-100065212565.0000000000,,Zinc,Total,0.116,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190059-1-20040518-0,Sample,5/18/2004,PKNTDIS,,SAN-PKNTDIS,,,,PWD,PWD,PWD,,Unknown,STORET-100065212573.0000000000,,Aluminum,Total,0.761,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190059-1-20040518-0,Sample,5/18/2004,PKNTDIS,,SAN-PKNTDIS,,,,PWD,PWD,PWD,,Unknown,STORET-100065212579.0000000000,,Chloride,Total,11.2,mg/l,,300(A),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190059-1-20040518-0,Sample,5/18/2004,PKNTDIS,,SAN-PKNTDIS,,,,PWD,PWD,PWD,,Unknown,STORET-100065212581.0000000000,*Non-detect,Fluoride,Total,,,,4500-F-C,APHA,,,,,,0.1,mg/l,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190059-1-20040518-0,Sample,5/18/2004,PKNTDIS,,SAN-PKNTDIS,,,,PWD,PWD,PWD,,Unknown,STORET-100065212578.0000000000,,Calcium,,44.7,mg/l,,200.8(W),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190059-1-20040518-0,Sample,5/18/2004,PKNTDIS,,SAN-PKNTDIS,,,,PWD,PWD,PWD,,Unknown,STORET-100065212563.0000000000,,Sulfate as SO4,,255.5,mg/l,,300(A),USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-P0405190059-1-20040518-0,Sample,5/18/2004,PKNTDIS,,SAN-PKNTDIS,,,,PWD,PWD,PWD,,Unknown,STORET-100065212575.0000000000,*Non-detect,Bromide,,,,,300(A),USEPA,,,,,,0.05,mg/l,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-METAL01 \\Custody_ID: WAPBASE 20171-STONY2004-0,Sample,6/3/2004,STONYSPC,,211WVOWR-PNB-017-0025,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007884068.0000000000,,Aluminum,Total,1600,ug/l,This value could be in violation of Water Quality Standards.,200.7(W),USEPA,,,,"Bio-Chem Testing, Inc.",6/7/2004,20,ug/l,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-METAL01 \\Custody_ID: WAPBASE 20171-STONY2004-0,Sample,6/3/2004,STONYSPC,,211WVOWR-PNB-017-0025,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007884066.0000000000,,Manganese,Total,10000,ug/l,This value could be in violation of Water Quality Standards.,200.7(W),USEPA,,,,"Bio-Chem Testing, Inc.",6/7/2004,3,ug/l,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-METAL01 \\Custody_ID: WAPBASE 20171-STONY2004-0,Sample,6/3/2004,STONYSPC,,211WVOWR-PNB-017-0025,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007884065.0000000000,,Iron,Total,320,ug/l,,200.7(W),USEPA,,,,"Bio-Chem Testing, Inc.",6/7/2004,20,ug/l,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-DISSMETAL01 \\Custody_ID: WAPBASE 20171-STONY2004-0,Sample,6/3/2004,STONYSPC,,211WVOWR-PNB-017-0025,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007884047.0000000000,,Iron,Dissolved,60,ug/l,,200.7(W),USEPA,,,,"Bio-Chem Testing, Inc.",6/7/2004,20,ug/l,,,STORET
